familles,script,ast,nb_imports,nb_functions,read_hits,write_hits,states_detectes,dangers_detectes,verdict
CHAINES,phase55_selection_chaines_shadow.py,OK,5,6,6,4,phase51_outputs_a_controler.csv|phase51_outputs_exploitables_shadow.csv|phase51_resume_par_script.csv|phase55_chaines_prioritaires_shadow.csv|phase55_detail_outputs_familles.csv|phase55_resume_familles_shadow.csv|phase55_scripts_a_auditer_phase56.csv,binance,NEPASBRANCHER
RECURSIFS,production/mondes/batch_mondes_recursifs.py,OK,9,5,4,3,btc_daily.csv|fear_greed_complet.csv|m.csv|seragone_4117j_complet.csv,,GARDER_CANON_DORMANT
AUTONOMES,production/mondes/mondes_autonomes.py,OK,11,3,3,3,mondes_autonomes_state.json|state.json,,GARDER_CANON_DORMANT
COMMUNICANTS,production/mondes/mondes_communicants.py,OK,8,9,10,10,STATE.JSON|brisance_state.json|modules_historique_complet.csv|mondes_communicants_state.json|mondes_paralleles_state.json|multivers_state.json|recursif_v1_journal.csv|state.json,,GARDER_CANON_DORMANT
PARALLELES,production/mondes/mondes_paralleles_adapter.py,OK,3,2,2,1,mondes_paralleles_state.json,,GARDER_CANON_DORMANT
PARALLELES,production/mondes/mondes_paralleles_engine.py,OK,11,13,17,7,M2SL.csv|btc_active_addresses.csv|btc_daily.csv|btc_difficulty_daily.csv|btc_hashrate_daily.csv|btc_transactions_daily.csv|dxy_daily.csv|eth_daily.csv|funding_rate_btc.csv|mondes_paralleles_history.csv|mondes_paralleles_state.json|seragone_4117j_complet.csv|sous_signaux_18.csv|sous_signaux_18_complet.csv|sp500_daily.csv,,GARDER_CANON_DORMANT
MULTIVERS,production/mondes/multivers_v2.py,OK,4,9,1,0,seragone_v3_final.csv,,TESTER_OFFLINE
BRAINCHEF,production/moteurs/seragone_brain.py,OK,9,16,3,3,.csv|state.json,binance,NEPASBRANCHER
BRAINCHEF,production/moteurs/seragone_brain_cwt.py,OK,12,17,5,5,btc_daily.csv|btc_daily_clean.csv|state.json|taker_1min.db,ORDER,NEPASBRANCHER
BRAINCHEF,production/orchestration/seragone_chef_orchestre.py,OK,12,19,2,2,STATE.JSON|btc_daily.csv|btc_daily_clean.csv|btc_usd.csv|state.json,,GARDER_CANON_DORMANT
